TF_IDF_SearchEngine:
Query 1: Romantic comedy
	1. (31148, 'Oyee', 'The movie is based on 2004 South Korean romantic comedy Too Beautiful to Lie.[5]', 0.7448743681365304, 0.5448743681365303)
	2. (20622, 'Loop', 'The main character, Rachel, is dumped by her boyfriend and exacts revenge. This film is classified as a romantic comedy.', 0.6032491543175108, 0.4032491543175108)
	3. (25483, 'Muskurahat', 'Muskurahat is a romantic comedy, featuring Jay Mehta, Revathi and Amrish Puri.', 0.5864139801792294, 0.38641398017922934)
	4. (22705, 'Min & Max', 'The comedy and love story between a man and a women with height different.', 0.522352841788928, 0.42235284178892807)
	5. (27322, 'Rocket', 'The movie is a romantic comedy. The main lead of the movie, Rakesh (Sathish Ninasam), falls in love with Shwetha (Aishani Shetty), and goes through a romantic journey. He faces a lot of hurdles in the journey and overcomes those hurdles forms the crux of the story.', 0.5128024405820791, 0.3128024405820791)
	6. (10737, 'I Was a Teenage Zombie', 'The film begins like a 1980s comedy with teens looking to purchase some marijuana but turns into comedy/horror genre when a drug dealer is pushed into the river and becomes a zombie.', 0.4760419784716087, 0.37604197847160864)
	7. (25337, 'Lal Dupatta Malmal Ka', 'This is a romantic drama movie.[2]', 0.4482861962140593, 0.34828619621405926)
	8. (28673, 'Manje Bistre', "The story revolves around a Punjabi wedding, with elements of romance and comedy. Sukhi, while preparing for his sister's wedding, meets Rano and immediately falls in love with her. Rano, being Sukhi' sister's friend is a hesitant lover and during their romantic alliance many other characters are introduced throughout the film.", 0.43735008767484607, 0.23735008767484606)
	9. (18501, 'Yellow Sands', "A rural comedy about a rich dying woman's relatives that are about to be disappointed by the contents of her will.", 0.42745808321526313, 0.32745808321526315)
	10. (22150, 'Sur le rythme', "Sur le rythme is a romantic comedy about the world of dance. Delphine Lamarre (Mylène Saint-Sauveur) a 20 years old student has to choose between medicine, her parents' (Paul Doucet and Marina Orsini) wish, and her dreams of a career in dancing.", 0.4257920925881723, 0.2257920925881723)

Query 2: Science fiction adventure
	1. (19161, 'Orders Are Orders', 'A film production company decides to make a new science fiction film in an army barracks, using the soldiers as extras. This does not go down well with the commanding officer, who attempts to make life as difficult as possible for the film crew.', 0.4943922872497255, 0.3610589539163922)
	2. (11049, 'Remote Control', "A video store clerk stumbles onto an alien plot to take over earth by brainwashing people with a bad '50s science fiction movie. He and his friends race to stop the aliens before the tapes can be distributed world-wide.", 0.42661569003960553, 0.2932823567062722)
	3. (2835, 'Hullabaloo', 'Morgan is the star of the film, as a fading actor Frankie Merriweather who is trying to revive his career by starring on a radio program. When his most recent broadcast, a science fiction invasion from Mars story, panics the nation, he is fired. He decides to jumpstart his career by creating a new show which features his talented children.', 0.38172807593803726, 0.24839474260470396)
	4. (13956, 'Storytelling', 'The film consists of two stories that are unrelated and have different actors, titled "Fiction" and "Non-Fiction". College and high school serve as the backdrop for these two stories about dysfunction and personal turmoil.\r\n"Fiction", starring Selma Blair, "Vi", is about a group of college students in a creative writing class taught by a professor (Robert Wisdom.)\r\n"Non-Fiction", starring Paul Giamatti and John Goodman, is about the filming of a dysfunctional suburban New Jersey family as their teenage son (Mark Webber) goes through the college application process, and faces the trials and tribulations of late teenage years.\r\nThe original version of the film featured a third story entitled "Autobiography", concerning, among other things, a closeted football player (James van der Beek). The main character has an explicit sex scene with a male partner (Steven Rosen); the entire story was cut from the final version.[4]', 0.36110268267808304, 0.2944360160114164)
	5. (3679, "Tarzan's Desert Mystery", 'Like its immediate predecessor, Tarzan Triumphs, this movie makes reference to Tarzan\'s mate, Jane, played in earlier Weissmuller films by Maureen O\'Sullivan, but it does not show her on screen. The explanation given is that she is in England helping the war effort. (When the character of Jane finally did return in the next Tarzan film, she was played by Brenda Joyce, not O\'Sullivan.)\r\nThe film revolves around Tarzan\'s quest, at the urging of Jane, to find a rare African serum to help Allied troops. Tarzan\'s son, Boy, manages to tag along as the apeman journeys into the Sahara, and the two are soon joined by a rambunctious horse and a female American magician, played by Nancy Kelly.\r\nThe story is mostly a fantasy adventure — with "Arabian Nights"-style characters and sinister Nazi spies — but it also includes considerable comic relief and even science fiction elements. Critics complained that it was aimed more toward juvenile audiences than previous Tarzan films had been.', 0.34503399290089426, 0.14503399290089425)
	6. (3422, 'Ship Ahoy', "Tallulah Winters is a dancing star who is hired to perform on an ocean liner. Before she leaves, she is recruited by what she believes is a branch of the American government and asked to smuggle a prototype explosive mine out of the country. In fact, she is unknowingly working for Nazi agents who have stolen the mine. Meanwhile, Merton Kibble (Red Skelton), a writer of pulp fiction adventure stories but suffering from severe writer's block, is on the same ship and soon he finds himself embroiled in Tallulah's real-life adventure. Also appearing in the film were Bert Lahr, Tommy Dorsey, Buddy Rich, and Virginia O'Brien.", 0.3409703685895821, 0.20763703525624877)
	7. (22256, 'No Men Beyond This Point', 'The film is a science fiction mockumentary set in an alternate timeline where in the 1950s, human females began reproducing by parthenogenesis. Nine months after a near-Earth object almost hit Earth in 1952, the first fatherless baby is born. Sexual reproduction became rarer and rarer, and the babies born by way of parthenogenesis were all female, so that by the 2010s (when the mock documentary is filmed), the youngest male human on Earth is 37 years old; he is the ostensible subject of the mock documentary.[3][4]', 0.31549093758593705, 0.1821576042526037)
